bloaz,pH_KCl,KA,Ossz_so,CaCO3,Humusz,NO3_N,P2O5,K2O,Mg,Na,Zn,Cu,Mn,SO4,pH_KCl_range,KA_range,Ossz_so_range,CaCO3_range,Humusz_range,NO3_N_range,P2O5_range,K2O_range,Mg_range,Na_range,Zn_range,Cu_range,Mn_range,SO4_range
F1AMTJ15,4.8,45,0.02,0.2,2.7,23.4,61.5,359.3,399.5,16.3,2.2,6.3,194.8,7.9,Low-range,25%-50%,Low-range,Low-range,Upper-range,50%-75%,Low-range,Upper-range,Upper-range,Low-range,Upper-range,Upper-range,Upper-range,Upper-range
W5EQFV12,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
FN9J9J15,8.2,26,0.02,3.9,0.3,0,0,0,0,0,0,0,0,0,Upper-range,Low-range,Low-range,Upper-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range
J2H4P413,7.5,42,0.02,1.6,2.4,21.8,305.3,402.1,131.8,34.5,3.1,1.4,9.7,5,Upper-range,25%-50%,Low-range,50%-75%,50%-75%,50%-75%,Upper-range,Upper-range,Low-range,50%-75%,Upper-range,Low-range,Low-range,Low-range
LAH6XU15,6.5,44,0.02,0.2,2.5,31.7,39.5,216.9,300.6,17.9,0.8,3.7,420.7,5,25%-50%,25%-50%,Low-range,Low-range,50%-75%,Upper-range,Low-range,25%-50%,50%-75%,Low-range,Low-range,50%-75%,Upper-range,Low-range
K6MWQ712,7.5,28,0.02,0.2,0.8,17.8,206.2,143.6,75.2,29.3,3.5,1.6,119.3,5,Upper-range,Low-range,Low-range,Low-range,Low-range,50%-75%,50%-75%,Low-range,Low-range,25%-50%,Upper-range,Low-range,50%-75%,Low-range
V37AK913,7.3,53,0.02,31.5,2.9,14.4,47.9,203.1,132.2,60.4,1.7,1.4,28.8,5,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Low-range,25%-50%,Low-range,Upper-range,50%-75%,Low-range,Low-range,Low-range
ULUNRY14,6.9,52,0.04,0.2,2.6,12.7,268.6,419.4,457.4,42.6,1.4,2.6,145.1,8.8,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,25%-50%,Upper-range,Upper-range,Upper-range,Upper-range,50%-75%,50%-75%,50%-75%,Upper-range
E859N315,7.1,50,0.03,0.3,3.4,15.4,489.4,478.6,291.2,38.4,1.1,3.2,72.5,5,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,25%-50%,Upper-range,Upper-range,50%-75%,50%-75%,25%-50%,50%-75%,25%-50%,Low-range
H2WT4N15,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
EU6HNW15,7.1,50,0.03,0.3,3.4,15.4,489.4,478.6,291.2,38.4,1.1,3.2,72.5,5,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,25%-50%,Upper-range,Upper-range,50%-75%,50%-75%,25%-50%,50%-75%,25%-50%,Low-range
K05HW912,7.5,28,0.02,0.2,0.8,17.8,206.2,143.6,75.2,29.3,3.5,1.6,119.3,5,Upper-range,Low-range,Low-range,Low-range,Low-range,50%-75%,50%-75%,Low-range,Low-range,25%-50%,Upper-range,Low-range,50%-75%,Low-range
WTK5QC12,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
TWCW9K15,4.8,28,0.02,0.2,0.5,2,47.8,192.90488,49.595,23.823078,1.0398,0.7428,48.584,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,25%-50%,Low-range,25%-50%,Low-range
J96L2V13,7.4,32,0.02,1.3,1.9,8.1,143,191.2,112.6,10.9,0.5,1.5,73.1,5,Upper-range,Low-range,Low-range,50%-75%,25%-50%,Low-range,25%-50%,25%-50%,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range
U8DN3H14,6.63,60,0.085,0.1,3.37,24.5,57.95,384.64,445.2,40.64,1.593,4.838,441.6,5,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,Upper-range,Low-range,Upper-range,Upper-range,50%-75%,50%-75%,Upper-range,Upper-range,Low-range
H82QE815,6.86,58,0.09,1,2.93,20,132,589,451,24.6,2.1,2.4,224,17.5,25%-50%,Upper-range,Upper-range,50%-75%,Upper-range,50%-75%,25%-50%,Upper-range,Upper-range,25%-50%,Upper-range,25%-50%,Upper-range,Upper-range
YXD79112,5.7,46,0.02,0.1,1.42,11.4,251,122,384,23.6,1,1.7,87,7.5,Low-range,25%-50%,Low-range,Low-range,Low-range,Low-range,50%-75%,Low-range,50%-75%,Low-range,Low-range,25%-50%,25%-50%,50%-75%
WLKHH812,7.5,40,0.03,10.2,3.2,36.9,304.5,398.4,252.7,53,1.4,1.4,16.3,8.4,Upper-range,Low-range,50%-75%,Upper-range,Upper-range,Upper-range,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,Low-range,Low-range,Upper-range
FDE49Y15,8.2,26,0.02,3.9,0.3,0,0,0,0,0,0,0,0,0,Upper-range,Low-range,Low-range,Upper-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range
WHCAPY12,7.2,25,0.02,0.6,0.9,18.4,140.9,140.594765400574,55.01625,25.9726380466007,1.581,1.7114,52.996,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,50%-75%,25%-50%,Low-range,Low-range,25%-50%,50%-75%,25%-50%,25%-50%,Low-range
J56QMF13,7.5,42,0.02,1.6,2.4,21.8,305.3,402.1,131.8,34.5,3.1,1.4,9.7,5,Upper-range,25%-50%,Low-range,50%-75%,50%-75%,50%-75%,Upper-range,Upper-range,Low-range,50%-75%,Upper-range,Low-range,Low-range,Low-range
TCU26J15,7.5,36,0.04,2.2,2.6,142.4,58.1,105.7,193.1,28.1,0.9,1.5,34.6,5,Upper-range,Low-range,Upper-range,50%-75%,Upper-range,Upper-range,Low-range,Low-range,25%-50%,25%-50%,Low-range,Low-range,25%-50%,Low-range
F3FC2P15,6.5,45,0.02,0.2,2,12.6,98.1,280.1,228,16.2,1.3,3.9,426.1,5,25%-50%,25%-50%,Low-range,Low-range,25%-50%,25%-50%,25%-50%,50%-75%,25%-50%,Low-range,25%-50%,Upper-range,Upper-range,Low-range
DT9R0F13,7.4,46,0.02,3.1,2.3,18.9,137.3,225.6,158.6,28,0.6,1.2,13.6,5,Upper-range,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,25%-50%,50%-75%,25%-50%,25%-50%,Low-range,Low-range,Low-range,Low-range
M6LWRC14,6.9,48,0.06,3.6,1.8,42.6,236.2,235.4,300.4,86.1,0.7,1.1,18.2,11.6,25%-50%,50%-75%,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,50%-75%,50%-75%,Upper-range,Low-range,Low-range,Low-range,Upper-range
T4N9EL15,6.5,45,0.02,0.2,2,12.6,98.1,280.1,228,16.2,1.3,3.9,426.1,5,25%-50%,25%-50%,Low-range,Low-range,25%-50%,25%-50%,25%-50%,50%-75%,25%-50%,Low-range,25%-50%,Upper-range,Upper-range,Low-range
KJH3UP12,7.5,28,0.02,0.2,0.8,17.8,206.2,143.6,75.2,29.3,3.5,1.6,119.3,5,Upper-range,Low-range,Low-range,Low-range,Low-range,50%-75%,50%-75%,Low-range,Low-range,25%-50%,Upper-range,Low-range,50%-75%,Low-range
V3WQKD13,7.3,53,0.02,31.5,2.9,14.4,47.9,203.1,132.2,60.4,1.7,1.4,28.8,5,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Low-range,25%-50%,Low-range,Upper-range,50%-75%,Low-range,Low-range,Low-range
L16TTP15,6.5,44,0.02,0.2,2.5,31.7,39.5,216.9,300.6,17.9,0.8,3.7,420.7,5,25%-50%,25%-50%,Low-range,Low-range,50%-75%,Upper-range,Low-range,25%-50%,50%-75%,Low-range,Low-range,50%-75%,Upper-range,Low-range
XPCJ2R12,7.2,40,0.03,2.5,2.1,17,119,179.305635041164,358.1375,48.1810107105747,0.834,2.2074,31.998,5,50%-75%,Low-range,50%-75%,50%-75%,50%-75%,50%-75%,25%-50%,25%-50%,50%-75%,Upper-range,Low-range,25%-50%,Low-range,Low-range
KXDVED12,7,58,0.02,2.6,2.9,7.2,267.7,209.9,314.1,59.2,1.2,4.3,23.9,5,50%-75%,Upper-range,Low-range,50%-75%,Upper-range,Low-range,Upper-range,25%-50%,50%-75%,Upper-range,25%-50%,Upper-range,Low-range,Low-range
V9NJK513,7.3,53,0.02,31.5,2.9,14.4,47.9,203.1,132.2,60.4,1.7,1.4,28.8,5,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Low-range,25%-50%,Low-range,Upper-range,50%-75%,Low-range,Low-range,Low-range
K80VE912,7.2,59,0.03,14.8,2.3,22.8,383.9,260.4,335.5,46.5,1.7,5,19.7,5,50%-75%,Upper-range,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,Upper-range,Low-range,Low-range
UFTN1214,7.02,50,0.08,0.1,3.46,26.3,111,350.17,360.2,34.68,1.762,3.09,385.5,5,50%-75%,Upper-range,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,Upper-range,Low-range
K4P8E812,7.2,59,0.03,14.8,2.3,22.8,383.9,260.4,335.5,46.5,1.7,5,19.7,5,50%-75%,Upper-range,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,Upper-range,Low-range,Low-range
V7VP3Y13,7.3,53,0.02,31.5,2.9,14.4,47.9,203.1,132.2,60.4,1.7,1.4,28.8,5,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Low-range,25%-50%,Low-range,Upper-range,50%-75%,Low-range,Low-range,Low-range
DNE86513,7.5,34,0.02,2.6,1.3,9.8,159.8,114.2,86.8,18.1,0.8,1.2,10.4,5,Upper-range,Low-range,Low-range,50%-75%,Low-range,Low-range,50%-75%,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range
D6JV7E13,7.5,34,0.02,2.6,1.3,9.8,159.8,114.2,86.8,18.1,0.8,1.2,10.4,5,Upper-range,Low-range,Low-range,50%-75%,Low-range,Low-range,50%-75%,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range
N4P43V12,4.9,26,0.02,0.2,0.9,17.1,44.3,128.8,85.3,32.6,0.9,1.2,109.2,5,Low-range,Low-range,Low-range,Low-range,Low-range,50%-75%,Low-range,Low-range,Low-range,50%-75%,Low-range,Low-range,50%-75%,Low-range
U96N3A14,6.63,60,0.085,0.1,3.37,24.5,57.95,384.64,445.2,40.64,1.593,4.838,441.6,5,25%-50%,Upper-range,Upper-range,Low-range,Upper-range,Upper-range,Low-range,Upper-range,Upper-range,50%-75%,50%-75%,Upper-range,Upper-range,Low-range
YXTDEQ12,5,31,0.02,0.2,1,9.1,56.2,169.1,114.5,23.8,1.4,1.3,174.1,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,50%-75%,Low-range,Upper-range,Low-range
J6CD0N13,7.4,48,0.03,1.7,2.7,28.9,458.7,423.9,107.9,32.3,1.9,1.4,19.5,5,Upper-range,50%-75%,50%-75%,50%-75%,Upper-range,Upper-range,Upper-range,Upper-range,Low-range,50%-75%,Upper-range,Low-range,Low-range,Low-range
V38JCA13,5.8,44,0.03,0.2,1.1,57.5,64.2,160.8,370.9,25.7,0.6,1.6,170.4,7.7,25%-50%,25%-50%,50%-75%,Low-range,Low-range,Upper-range,Low-range,Low-range,50%-75%,25%-50%,Low-range,Low-range,50%-75%,Upper-range
X9MRYT12,7.2,45,0.04,1.5,1.4,15.5,91.5,250.5,184.7,47.8,0.7,3.8,42,30.3,50%-75%,25%-50%,Upper-range,50%-75%,Low-range,50%-75%,25%-50%,50%-75%,25%-50%,Upper-range,Low-range,Upper-range,25%-50%,Upper-range
CMM62313,6.47,45,0.02,0.08,3.14,18.2,153,176,273,29.8,3.9,5.8,70,14.3,25%-50%,25%-50%,Low-range,Low-range,Upper-range,50%-75%,50%-75%,25%-50%,25%-50%,25%-50%,Upper-range,Upper-range,25%-50%,Upper-range
VKVJWY13,7.4,46,0.02,3.1,2.3,18.9,137.3,225.6,158.6,28,0.6,1.2,13.6,5,Upper-range,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,25%-50%,50%-75%,25%-50%,25%-50%,Low-range,Low-range,Low-range,Low-range
KK7WU912,7.5,28,0.02,0.2,0.8,17.8,206.2,143.6,75.2,29.3,3.5,1.6,119.3,5,Upper-range,Low-range,Low-range,Low-range,Low-range,50%-75%,50%-75%,Low-range,Low-range,25%-50%,Upper-range,Low-range,50%-75%,Low-range
ED7PNP15,6.6,62,0.04,0.2,1.8,11.9,116.7,257,1095.2,59.1,1.2,9.7,93.8,5,25%-50%,Upper-range,Upper-range,Low-range,25%-50%,25%-50%,25%-50%,50%-75%,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,Low-range
E6EPFH15,5.3,68,0.04,0.2,1.9,13.1,93,257.3,1212.8,89.7,4.5,12.9,114.3,5,Low-range,Upper-range,Upper-range,Low-range,25%-50%,25%-50%,25%-50%,50%-75%,Upper-range,Upper-range,Upper-range,Upper-range,50%-75%,Low-range
QEQ6R313,7.5,43,0.02,1.3,3,15,537.24062097,524.640592,234.15,47.80182,1.2252,1.1702,37.7266,5,Upper-range,25%-50%,Low-range,50%-75%,Upper-range,25%-50%,Upper-range,Upper-range,25%-50%,Upper-range,25%-50%,Low-range,25%-50%,Low-range
V0L4XQ13,7.4,46,0.02,3.1,2.3,18.9,137.3,225.6,158.6,28,0.6,1.2,13.6,5,Upper-range,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,25%-50%,50%-75%,25%-50%,25%-50%,Low-range,Low-range,Low-range,Low-range
KK11YA12,7.7,52,0.02,19.3,1.9,11.9,392.3,225.8,251.5,84.6,3.1,2.8,9.8,5,Upper-range,Upper-range,Low-range,Upper-range,25%-50%,25%-50%,Upper-range,50%-75%,25%-50%,Upper-range,Upper-range,50%-75%,Low-range,Low-range
DD3N7Y13,4.3,44,0.02,0.2,1.1,2,19.4,177.8,392.7,42.4,0.7,2.7,103.7,5,Low-range,25%-50%,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Upper-range,50%-75%,Low-range,50%-75%,50%-75%,Low-range
UTFQX214,7.02,54,0.02,1.66,2.88,29.3,274,432,276,36.3,1.9,3.4,67,12.4,50%-75%,Upper-range,Low-range,50%-75%,Upper-range,Upper-range,Upper-range,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,25%-50%,Upper-range
HDUJK415,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
Y5MEN212,5,31,0.02,0.2,1,9.1,56.2,169.1,114.5,23.8,1.4,1.3,174.1,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,50%-75%,Low-range,Upper-range,Low-range
T3U3EJ15,6.5,45,0.02,0.2,2,12.6,98.1,280.1,228,16.2,1.3,3.9,426.1,5,25%-50%,25%-50%,Low-range,Low-range,25%-50%,25%-50%,25%-50%,50%-75%,25%-50%,Low-range,25%-50%,Upper-range,Upper-range,Low-range
VHMAK413,7.3,53,0.02,31.5,2.9,14.4,47.9,203.1,132.2,60.4,1.7,1.4,28.8,5,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Low-range,25%-50%,Low-range,Upper-range,50%-75%,Low-range,Low-range,Low-range
L1XE5E15,6.5,44,0.02,0.2,2.5,31.7,39.5,216.9,300.6,17.9,0.8,3.7,420.7,5,25%-50%,25%-50%,Low-range,Low-range,50%-75%,Upper-range,Low-range,25%-50%,50%-75%,Low-range,Low-range,50%-75%,Upper-range,Low-range
C7622313,7.1,49,0.05,2.8,1.7,72.2,361,405.2,245.1,59.7,2.9,2.3,36.5,5,50%-75%,Upper-range,Upper-range,Upper-range,25%-50%,Upper-range,Upper-range,Upper-range,25%-50%,Upper-range,Upper-range,25%-50%,25%-50%,Low-range
D6JY0913,7.4,46,0.02,3.1,2.3,18.9,137.3,225.6,158.6,28,0.6,1.2,13.6,5,Upper-range,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,25%-50%,50%-75%,25%-50%,25%-50%,Low-range,Low-range,Low-range,Low-range
KTXFED12,7.2,59,0.03,14.8,2.3,22.8,383.9,260.4,335.5,46.5,1.7,5,19.7,5,50%-75%,Upper-range,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,50%-75%,Upper-range,Low-range,Low-range
JQX60L13,7.3,46,0.02,0.5,2.7,22.4,81.4,166.2,223.6,19.6,1.1,1.8,65.8,5,50%-75%,25%-50%,Low-range,50%-75%,Upper-range,50%-75%,25%-50%,25%-50%,25%-50%,Low-range,25%-50%,25%-50%,25%-50%,Low-range
R01FJX12,6.8,42,0.02,0.2,1.3,5.7,41.8,140.1,241.7,15.3,0.8,3,246.8,5,25%-50%,25%-50%,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,Low-range,50%-75%,Upper-range,Low-range
JH467R13,7.3,42,0.02,1.7,2.1,17.5,199.7,229.7,143.5,10.6,0.9,1.7,28.4,5,50%-75%,25%-50%,Low-range,50%-75%,50%-75%,50%-75%,50%-75%,50%-75%,Low-range,Low-range,Low-range,25%-50%,Low-range,Low-range
DDHR0813,7.4,46,0.02,3.1,2.3,18.9,137.3,225.6,158.6,28,0.6,1.2,13.6,5,Upper-range,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,25%-50%,50%-75%,25%-50%,25%-50%,Low-range,Low-range,Low-range,Low-range
K4Q9QM12,7,58,0.02,2.6,2.9,7.2,267.7,209.9,314.1,59.2,1.2,4.3,23.9,5,50%-75%,Upper-range,Low-range,50%-75%,Upper-range,Low-range,Upper-range,25%-50%,50%-75%,Upper-range,25%-50%,Upper-range,Low-range,Low-range
Q0DWEN13,5.2,47,0.04,0.2,2.8,37.3,75.8,257.2,585.5,33.3,1.3,2.7,180.2,5,Low-range,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,Low-range,50%-75%,Upper-range,50%-75%,25%-50%,50%-75%,Upper-range,Low-range
VY1H3N13,7.3,53,0.02,31.5,2.9,14.4,47.9,203.1,132.2,60.4,1.7,1.4,28.8,5,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Low-range,25%-50%,Low-range,Upper-range,50%-75%,Low-range,Low-range,Low-range
K06NXJ12,7.6,38,0.03,8.9,2.5,35.8,119.1,218.9,162.1,51.8,0.8,1.3,27.7,14.1,Upper-range,Low-range,50%-75%,Upper-range,50%-75%,Upper-range,25%-50%,50%-75%,25%-50%,Upper-range,Low-range,Low-range,Low-range,Upper-range
H2Y4LJ15,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
KH7W5J12,7.6,38,0.03,8.9,2.5,35.8,119.1,218.9,162.1,51.8,0.8,1.3,27.7,14.1,Upper-range,Low-range,50%-75%,Upper-range,50%-75%,Upper-range,25%-50%,50%-75%,25%-50%,Upper-range,Low-range,Low-range,Low-range,Upper-range
T5RWEC15,6.5,45,0.02,0.2,2,12.6,98.1,280.1,228,16.2,1.3,3.9,426.1,5,25%-50%,25%-50%,Low-range,Low-range,25%-50%,25%-50%,25%-50%,50%-75%,25%-50%,Low-range,25%-50%,Upper-range,Upper-range,Low-range
H4QW1K15,7.21,49,0.05,5.06,3.41,11.12,296,354.27,249.7,59.11,2.573,2.446,40.09,6.975,50%-75%,Upper-range,Upper-range,Upper-range,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Upper-range,Upper-range,50%-75%,25%-50%,50%-75%
E0NWNX15,7.3,48,0.03,1.2,2,36.7,2178,931.7,229.7,36.4,1.5,2.6,33.3,5,50%-75%,50%-75%,50%-75%,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,Low-range,Low-range
V564DX13,7.3,53,0.02,31.5,2.9,14.4,47.9,203.1,132.2,60.4,1.7,1.4,28.8,5,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,25%-50%,Low-range,25%-50%,Low-range,Upper-range,50%-75%,Low-range,Low-range,Low-range
H4VL5J15,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
TU89DV15,6.5,45,0.02,0.2,2,12.6,98.1,280.1,228,16.2,1.3,3.9,426.1,5,25%-50%,25%-50%,Low-range,Low-range,25%-50%,25%-50%,25%-50%,50%-75%,25%-50%,Low-range,25%-50%,Upper-range,Upper-range,Low-range
W2YHH412,7.5,40,0.03,10.2,3.2,36.9,304.5,398.4,252.7,53,1.4,1.4,16.3,8.4,Upper-range,Low-range,50%-75%,Upper-range,Upper-range,Upper-range,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,Low-range,Low-range,Upper-range
T2YWDE15,6.5,45,0.02,0.2,2,12.6,98.1,280.1,228,16.2,1.3,3.9,426.1,5,25%-50%,25%-50%,Low-range,Low-range,25%-50%,25%-50%,25%-50%,50%-75%,25%-50%,Low-range,25%-50%,Upper-range,Upper-range,Low-range
C4WLAJ13,4.3,42,0.02,0.2,1,8.3,110.7,154.4,291.3,24.5,0.6,3.1,212,5,Low-range,25%-50%,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,50%-75%,25%-50%,Low-range,50%-75%,Upper-range,Low-range
U3A81R14,7.15,50,0.075,1.06,3.27,27.1,87,377,321,50.5,1.55,2.82,199,5,50%-75%,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,Upper-range,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,Low-range
K2V20P12,7.7,51,0.02,17.9,1.8,19.9,290.9,377.3,351.8,78.1,2,3,16.5,18,Upper-range,Upper-range,Low-range,Upper-range,25%-50%,50%-75%,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,50%-75%,Low-range,Upper-range
N85HVN13,7.5,28,0.03,2.62,1.95,23.6,139,262,124,106,1.53,1.34,32,6.3949,Upper-range,Low-range,50%-75%,Upper-range,25%-50%,Upper-range,25%-50%,50%-75%,Low-range,Upper-range,50%-75%,Low-range,Low-range,50%-75%
EAJ3NA15,7.3,48,0.03,1.2,2,36.7,2178,931.7,229.7,36.4,1.5,2.6,33.3,5,50%-75%,50%-75%,50%-75%,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,Low-range,Low-range
V13QEC13,7.3,33,0.02,2.2,0.4,2,67.8,91.8,147.2,18.5,1,1.3,21.8,5,50%-75%,Low-range,Low-range,50%-75%,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range
E2X3NF15,7.1,50,0.03,0.3,3.4,15.4,489.4,478.6,291.2,38.4,1.1,3.2,72.5,5,50%-75%,Upper-range,50%-75%,50%-75%,Upper-range,25%-50%,Upper-range,Upper-range,50%-75%,50%-75%,25%-50%,50%-75%,25%-50%,Low-range
J8C7H313,7.47,43,0.065,3.72,2.09,41.39,188.8,298.24,154,42.77,0.944,1.64,45.05,5.69,Upper-range,25%-50%,Upper-range,Upper-range,50%-75%,Upper-range,50%-75%,50%-75%,25%-50%,Upper-range,Low-range,Low-range,25%-50%,50%-75%
K0JFH712,7,58,0.02,2.6,2.9,7.2,267.7,209.9,314.1,59.2,1.2,4.3,23.9,5,50%-75%,Upper-range,Low-range,50%-75%,Upper-range,Low-range,Upper-range,25%-50%,50%-75%,Upper-range,25%-50%,Upper-range,Low-range,Low-range
YFHUKJ12,5,31,0.02,0.2,1,9.1,56.2,169.1,114.5,23.8,1.4,1.3,174.1,5,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Low-range,25%-50%,50%-75%,Low-range,Upper-range,Low-range
P25U1114,5.2,47,0.04,0.2,2.8,37.3,75.8,257.2,585.5,33.3,1.3,2.7,180.2,5,Low-range,50%-75%,Upper-range,Low-range,Upper-range,Upper-range,Low-range,50%-75%,Upper-range,50%-75%,25%-50%,50%-75%,Upper-range,Low-range
VUNPHT13,7.4,46,0.02,3.1,2.3,18.9,137.3,225.6,158.6,28,0.6,1.2,13.6,5,Upper-range,25%-50%,Low-range,Upper-range,50%-75%,50%-75%,25%-50%,50%-75%,25%-50%,25%-50%,Low-range,Low-range,Low-range,Low-range
H83XPR15,7.23,46,0.06,2.96,3.26,16.01,284,390.42,196.7,38.25,1.651,2.927,46.52,6.775,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,50%-75%,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,25%-50%,50%-75%
D9XYHA13,4.3,44,0.02,0.2,1.1,2,19.4,177.8,392.7,42.4,0.7,2.7,103.7,5,Low-range,25%-50%,Low-range,Low-range,Low-range,Low-range,Low-range,25%-50%,Upper-range,50%-75%,Low-range,50%-75%,50%-75%,Low-range
NWLQ4813,4.9,26,0.02,0.2,0.9,17.1,44.3,128.8,85.3,32.6,0.9,1.2,109.2,5,Low-range,Low-range,Low-range,Low-range,Low-range,50%-75%,Low-range,Low-range,Low-range,50%-75%,Low-range,Low-range,50%-75%,Low-range
DF8FA413,7.3,40,0.02,4.4,1.9,17.9,147.5,179.8,130.1,15.2,0.6,1.4,29.5,5,50%-75%,Low-range,Low-range,Upper-range,25%-50%,50%-75%,50%-75%,25%-50%,Low-range,Low-range,Low-range,Low-range,Low-range,Low-range
W96CLJ12,7.6,38,0.03,8.9,2.5,35.8,119.1,218.9,162.1,51.8,0.8,1.3,27.7,14.1,Upper-range,Low-range,50%-75%,Upper-range,50%-75%,Upper-range,25%-50%,50%-75%,25%-50%,Upper-range,Low-range,Low-range,Low-range,Upper-range
LD6TT315,6.5,44,0.02,0.2,2.5,31.7,39.5,216.9,300.6,17.9,0.8,3.7,420.7,5,25%-50%,25%-50%,Low-range,Low-range,50%-75%,Upper-range,Low-range,25%-50%,50%-75%,Low-range,Low-range,50%-75%,Upper-range,Low-range
E7LHFH15,7.3,48,0.03,1.2,2,36.7,2178,931.7,229.7,36.4,1.5,2.6,33.3,5,50%-75%,50%-75%,50%-75%,50%-75%,25%-50%,Upper-range,Upper-range,Upper-range,25%-50%,50%-75%,50%-75%,50%-75%,Low-range,Low-range
